Departamento  de la Institución;Provincias dela República  de Panamá;Tipo de Ley;Fecha de Entrada de Queja;Mes de Entrada de Queja;Motivo de Queja;Agente Económico;Actividad;Marca de Producto;Producto;Velor de Apertura de Queja;Resultado de Queja;Efectivo Devuelto al Consumidor (B/.);Fecha de Cierre de Queja;Mes Cierre de Queja;Año Cierre de Queja;Año Recibido de Queja
Decisión;Panamá;Ley 45 de 2007;28-ene-2025;Ene 25;Incumplimiento de garantía;CABLE & WIRELESS PANAMÁ;Celulares;Iphone;Celular;689.00;Acuerdo/Reemplazo;;02-jun-2025;Jun 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;28-ene-2025;Ene 25;Falta de información;GRUPO STONE, S.A.;Materiales de construcción;No se Registro;No se Registro;500.00;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;30-ene-2025;Ene 25;Falta de información;PANDORA JEWELRY;Joyería/Relojerías;No se Registro;No se Registro;95.52;Pendiente constancia desistimiento;;03-jun-2025;Jun 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;30-ene-2025;Ene 25;Incumplimiento de servicio;MEDIC FEET SALUD PARA SUS PIES;Centros de estéticas;No se Registro;No se Registro;64.19;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;30-ene-2025;Ene 25;Incumplimiento de garantía;PREMIER;Electrodomésticos/equipos electrónicos;Premier;Lavadora;145.51;Pendiente constancia desistimiento;;19-mar-2025;Mar 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;30-ene-2025;Ene 25;Incumplimiento de garantía;SUPER XTRA;Supermercados;Premier;No se Registro;349.99;Resolución no acceder;;05-ago-2025;Ago 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;30-ene-2025;Ene 25;Falta de información;TU BIENESTAR COMPANY, S.A.;Funerarias;No se Registro;No se Registro;24.00;Desistimiento;;10-mar-2025;Mar 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;08-ene-2025;Ene 25;Incumplimiento de garantía;FRAICHE MEGAMALL;Perfumería;No se Registro;No se Registro;28.21;Acuerdo/Reemplazo;;19-mar-2025;Mar 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;08-ene-2025;Ene 25;Incumplimiento de servicio;PANAMA HEALT CLINIC, S.A.;Clínicas/ Hospitales;No se Registro;No se Registro;2,200.00;Resoluciones/Varios;;11-dic-2025;Dic 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;14-ene-2025;Ene 25;Incumplimiento de servicio;CAMAS EXPRES PANAMA - MEGA ESPUMA PANAMA, S.A.;Fábricas de muebles;No se Registro;Sofa cama;428.00;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;17-ene-2025;Ene 25;Incumplimiento de garantía;PREMIER;Electrodomésticos/equipos electrónicos;Premier;Televisor;406.58;Desistimiento;;18-sep-2025;Sep 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;23-ene-2025;Ene 25;Incumplimiento de garantía;MAXICOOL H.A.;Repuestos y reparaciones (talleres varios no autos);Premier;Aire acondicionado;120.00;Desistimiento;;04-feb-2025;Feb 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;03-ene-2025;Ene 25;Incumplimiento de garantía;RODELAG;Almacén por departamentos;Samsung;Refrigeradora;588.47;Desistimiento;;30-ene-2025;Ene 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;14-ene-2025;Ene 25;Incumplimiento de garantía;THE WORLD CELL;Celulares;No se Registro;Scooter;120.00;Acuerdo/Reparación;;14-mar-2025;Mar 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;13-ene-2025;Ene 25;Incumplimiento de garantía;EL FUERTE;Supermercados;Sankey;Secador de cabello;278.19;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;22-ene-2025;Ene 25;Falta de información;INVERSIONES EL CREPÚSCULO, S.A.;Funerarias;No se Registro;No se Registro;22.00;Acuerdo en audiencia/Varios;;26-mar-2025;Mar 25;2025;2025
Vehículo a Motor;Coclé;Ley 14 de 2018;17-ene-2025;Ene 25;Incumplimiento de garantía;COPAMA;Agencia de autos;No se Registro;Automóvil;22,900.00;En proceso;;;;;2025
Decisión;Coclé;Ley 45 de 2007;07-ene-2025;Ene 25;Incumplimiento de contrato;SERVICIOS MULTIPLE ALEX;Servicios de instalación;No se Registro;No se Registro;245.00;En proceso;;;;;2025
Decisión;Coclé;Ley 45 de 2007;07-ene-2025;Ene 25;Incumplimiento de servicio;MAIL BOXES ETC;Servicio de intermediación;No se Registro;Reloj;305.34;Desistimiento/Devolución;305.34;06-ago-2025;Ago 25;2025;2025
Decisión;Coclé;Ley 45 de 2007;13-ene-2025;Ene 25;Incumplimiento de garantía;SPIEGEL;Almacén por departamentos;No se Registro;Estufa;428.00;Desistimiento;;17-jun-2025;Jun 25;2025;2025
Decisión;Coclé;Ley 45 de 2007;20-ene-2025;Ene 25;Resolución de contrato;SKY PANAMÁ;Tv por cable;No se Registro;No se Registro;23.99;Desistimiento;;17-jun-2025;Jun 25;2025;2025
Decisión;Coclé;Ley 45 de 2007;27-ene-2025;Ene 25;Incumplimiento de garantía;ALMACEN SUPER FUERTE;Almacén por departamentos;No se Registro;Refrigeradora;245.00;Acuerdo en audiencia/Reparación;;12-jun-2025;Jun 25;2025;2025
